Category,Value,Question,Answer,class
EAT A GREEN THING,$400,Small versions of this common garden vegetable used for pickling are often called gherkins,Cucumbers,Non-Fiction
WORLD CAPITALS,$100,"This capital of Cuba has a colonial museum & not surprisingly, a Museum of the Revolution",Havana,Non-Fiction
"YOUR BODY AND ""U""",$400,One kind of this is a wound on the skin; another kind affects the mucous membrane as in the lower esophagus,an ulcer,Science/Geography
HAUNTED AMERICA,$600,"Woodburn, the Dover home of this state's governor, is said to have several resident ghosts",Delaware,Non-Fiction
CITY OF THE DAY: RALEIGH,$200,"Because of its fine museums, Raleigh has been dubbed this D.C. institution ""of the South""",the Smithsonian,Non-Fiction
CONGRESSIONAL BEFORE & AFTER,$800,The North Carolina senator grown in Hawaii by one company since 1851,Elizabeth Dole Pineapple,Non-Fiction
CLASSIC ADS & JINGLES,$400,"""...Tough kids, sissy kids, even kids with chicken pox love"" these",Armour Hot Dogs,Fiction
FRENCH CUISINE,$100,"Popeye might like epinards au beurre, which is this vegetable with butter",spinach,Non-Fiction
"""Y"" IS THE ONLY VOWEL",$200,British clergyman Charles Wesley was a notable Methodist writer of these,hymns,Non-Fiction
SONGS,$1000,The title of this wistful Beach Boys song is also the title of Brian Wilson's autobiography,"""Wouldn't It Be Nice?""",Fiction
ONCE UPON A NOVEMBER,$1200,"This pair saw the Pacific Ocean for the first time at the mouth of the Columbia River on Nov. 7, 1805",Lewis & Clark,Non-Fiction
DOUBLE TALK,$600,A soft sound separate from normal heart action; it may indicate a serious problem,a murmur,Science/Geography
U.S. GEOGRAPHY,$200,A small part of this California mountain range extends into the Lake Tahoe area of Nevada,Sierra Nevadas,Science/Geography
THE KOSOVO SITUATION,$400,Serbs hold Kosovo dear because they lost a 1389 battle there to this empire,Ottoman Empire,Non-Fiction
VWLLSS VGTBLS,$800,RTBG,rutabaga,Non-Fiction
THE 3 R's,$300,The Romans gave us this letter by adding a small stroke to the letter C,G,Non-Fiction
LET'S SEE WHAT'S OVER THERE,$1600,This Jesuit missionary explored the Mississippi with Louis Joliet,Marquette,Non-Fiction
HAIL TO THE CHIEF,$1200,"In 1900 he ran on the campaign slogan ""Four years more of the full dinner pail""",McKinley,Non-Fiction
MOVIE QUOTES,$200,"Orson Welles film in which you'd hear the line ""I think it would be fun to run a newspaper""",Citizen Kane,Fiction
A LITTLE LEGALESE,"$4,000","Leading questions may be used when dealing with an adverse witness, also called this type of witness",hostile,Non-Fiction
EXTREME ANIMALS,$1000,"In the greatest mass egg laying, 500,000 of these sea creatures come ashore in Northeast India to nest",sea turtles,Science/Geography
CHILE DOGS,$400,In Concepcion this large dog is called un gran danes,a Great Dane,Non-Fiction
WORLD CURRENCY,$400,The aluminum & bronze schilling coin of this country is equivalent to 100 groschen,Austria,Non-Fiction
IN THE NAVY,$400,In 1972 the U.S. Navy promoted its first woman to this rank,Admiral,Non-Fiction
"""W""ORDS",$600,"If you've seen enough parsley in your life, try using this as a garnish instead",watercress,Non-Fiction
10-LETTER WORDS,$400,It's the pigment that makes red blood cells red,Hemoglobin,Science/Geography
I WANT MY SUV,$400,Grand Cherokee,Jeep,Non-Fiction
POLITICAL QUOTES,$200,"Louisiana ""Kingfish"" who reportedly said, ""The time has come for all good men to rise above principle""",Huey Long,Non-Fiction
"ON THE ""TELE""",$1200,Things that are at a distance appear closer when you use this type of camera lens,telephoto,Non-Fiction
POLITICAL TERMS,$600,"According to the Pledge of Allegiance, our flag stands for this form of government",republic,Non-Fiction
WE'VE GOT YOUR NUMBER,$200,"During WWII, the total number of stars on the U.S. flag",48,Non-Fiction
"BACK IN ""BLACK""",$1000,Fashionable nickname for Italy's Fascists,the Blackshirts,Non-Fiction
THE WORLD ALMANAC'S WIDELY KNOWN AMERICANS,$800,This New Haven-born casino developer is nearly at the end of the list,Steve Wynn,Non-Fiction
ACTORS' REAL NAMES,$200,"He was born Bela Ferenc Blasko in Lugos, Hungary",Bela Lugosi,Non-Fiction
GREAT THINGS,$200,The Great Smokies are part of this larger system,the Appalachians,Science/Geography
"THERE'S AN ""A""",$1000,Krishna is the eighth & best-known of these incarnations of Vishnu,Avatars,Fiction
PROVERBS,$600,Over 400 years B.C. Thucydides wrote history tends to do this,"""Repeat Itself""",Non-Fiction
"""F"" IN ANATOMY",$1600,The security of the ankle joint depends largely on this seemingly delicate bone,the fibula,Science/Geography
TOP 40 COMMENCEMENT ADDRESSES?,$400,"""The past is gone; it went by like dusk to dawn... Dream on, dream on, dream yourself a dream come true""",Aerosmith,Non-Fiction
WORLD WAR II,$800,Germany's ME-262 jet fighter was made by this manufacturer,Messerschmitt,Non-Fiction
HIDDEN BIRDPLAY,$800,"After the party, keg returns are easier",an egret (in keg returns),Science/Geography
FUN WITH OPERA,$800,"Of all the operas we know, this 1893 work based on a Grimm role has the most gingerbread in it",Hansel and Gretel,Fiction
ACCOUNTING EXAM,$300,The process of a firm selling parts of itself is: A. divestiture B. expenditure C. not really sure,Divestiture,Non-Fiction
JPL,$500,"(Cheryl of the Clue Crew reports from the JPL in Pasadena)  Scientists at JPL are learning to navigate a vessel close to this type of celestial body, Latin for ""long-haired star""",comet,Science/Geography
LYRICS OF NO.1 HITS,$2000,"1982: ""Oh-oh here she comes, watch out boy, she'll chew you up, oh-oh here she comes, she's a...""","""a maneater""",Fiction
"A CHORUS OF ""BOO""S",$1200,It can be a ship's food preparation area or the last car on a freight train,a caboose,Non-Fiction
OLD RADIO ADVENTURES,$1000,"""The Adventures Of"" this ""Farewell, My Lovely"" detective debuted in 1947, long before the Mitchum film",Philip Marlowe,Non-Fiction
NATIVE AMERICAN FOODS,$1600,"(<a href=""http://www.j-archive.com/media/2011-11-28_DJ_18.jpg"" target=""_blank"">Sarah of the Clue Crew presents the clue.</a>)  Native Americans traditionally prepared <a href=""http://www.j-archive.com/media/2011-11-28_DJ_18a.jpg"" target=""_blank"">salmon</a> by splitting them & placing them on planks of this evergreen conifer",cedar,Non-Fiction
SHIPS,$800,"Perhaps the greatest loss of life at sea, over 5,000, came in 1945 when this type of vessel sank the Wilhelm Gustloff",submarine,Non-Fiction
OOPS!,$500,"American Family Publishers' letter to a Florida church said this addressee was in the running for $11,000,000",God,Non-Fiction
"WE'RE ALL ""WAITING""",$800,Drama in which Estragon & Vladimir idly pass time away hoping for the title character to appear,Waiting for Godot,Fiction
WALK WITH ME,$200,"A move you might have learned in preschool is called this squatting ""walk"", after a bird",a duckwalk,Non-Fiction
WORD ORIGINS,$100,Mark Twain should have known the name of this fruit may be an alternation of “hurtleberry”,huckleberry,Non-Fiction
MODES OF TRANSPORT,$100,Goodyear's The Eagle,Blimp,Non-Fiction
"DESERVES AN ""ITHER""",$600,Ruth Welcome was a virtuoso on this musical instrument,the zither,Non-Fiction
"APRES ""SKI""",$400,"A-line, mini & peasant are 3 types",skirts,Non-Fiction
LET'S GET SMALL,$800,"Preparing objects for a microscope may include sectioning & this, the dyeing of the object for study",staining,Science/Geography
"""HY"" SCIENCE",$400,It's the main branch of engineering that studies the mechanical properties of fluids,hydraulic engineering,Science/Geography
"CROSSWORD CLUES ""L""",$600,"Mario, of movie musicals (5)",Lanza,Non-Fiction
ON OUR USO TOUR,$600,"(<a href=""http://www.j-archive.com/media/2007-12-21_J_12.jpg"" target=""_blank"">Alex drives a point home from the Atsugi NAF, Japan.</a>) The Army has the Black Hawk, the Air Force has the Pave Hawk, and the Navy has the assault utility vehicle with this name",the Sea Hawk,Non-Fiction
"""E"" TIMES 3",$400,King David & Jesus both hailed from this town,Bethlehem,Non-Fiction
"CROSSWORD CLUES ""B""",$1600,To invite or summon (6),beckon,Non-Fiction
FOOD IN FRENCH,$800,"(Sarah of the Clue Crew reports from Paris)  Oddly, in French, french fries aren't called french fries, but these",pommes frites,Non-Fiction
DON'T BE CHICKEN,$800,This term for a group hiearchy is based on the social behavior of poultry,pecking order,Non-Fiction
DURING DiMAGGIO'S HITTING STREAK,$300,This former New York Yankee seen here on a stamp died at age 37,Lou Gehrig,Sports
TAKE-OFFS,$800,"""Molvania: A Land Untouched by Modern Dentistry"" is a satirical type of this guide",a travel guide,Non-Fiction
WHALES,$400,"An adult male whale is called a bull, a female is called a cow & a baby whale is called this",a calf,Science/Geography
WHEN,$100,"On Aug. 28, 1963 he told a crowd gathered in Washington, D.C. ""I have a dream""","Martin Luther King, Jr.",Non-Fiction
RHYME TIME FOOD & DRINK,$1200,A malt beverage like O'Doul's with little or no alcohol,near beer,Non-Fiction
SHAKEN-UP SHAKESPEARE,$2000,"Yee-haw!  Colonel John Falstaff goes a-wooing in ""Lone Star Love"", a musical that moves this comedy to Texas",The Merry Wives of Windsor,Fiction
NETWORKING,$200,"""Barney & Friends"", ""Antiques Roadshow"", ""Mystery!""",PBS,Non-Fiction
UTTER NONSENSE,$1000,Helium or this can be used to raise a balloon from which a gondola is suspended,hot air,Science/Geography
COUNTRY SINGERS,$400,"Sinead O'Connor, famed for her shaved head",Ireland,Non-Fiction
