Show Number, Air Date, Round, Category, Value, Question, Answer
4080,2002-05-03,Jeopardy!,18 YEARS OF LEFTOVERS,$400,"From Season 14: 21-year-old Frances Folsom married 49-year-old Grover Cleveland in this ""colorful"" room",the Blue Room
5919,2010-05-13,Double Jeopardy!,THE NEW YORK TIMES SCIENCE TIMES,$800,"A Times headline said Beelzebufo ampinga, at 10 pounds the largest of these ever, ""hopped with dinosaurs""",a frog
4761,2005-04-25,Jeopardy!,FORMERLY KNOWN AS,"$1,600","...as Longacre Square, before a major metropolitian newspaper moved in",Times Square
2850,1997-01-10,Jeopardy!,COSMETICS & PERFUME,$500,"Guerlain perfume named for the ""Garden of Love"" built by a Mogul emperor",Shalimar
5593,2008-12-24,Double Jeopardy!,THEY GOT STRUCK,$1600,By Colombian banana plantation workers in 1928,the United Fruit Company
6050,2010-12-24,Double Jeopardy!,NATHANIEL HAWTHORNE,$1200,"When his friend Franklin Pierce became president, Hawthorne was made a diplomat to this ""fab"" British city",Liverpool
3115,1998-02-27,Jeopardy!,WORLD CAPITALS,$100,"This capital of Cuba has a colonial museum & not surprisingly, a Museum of the Revolution",Havana
2979,1997-07-10,Double Jeopardy!,ACTOR-DIRECTORS,$1000,"This bald director who appeared in ""Stalag 17"" was the father of Gypsy Rose Lee's son Eric",Otto Preminger
6060,2011-01-07,Jeopardy!,THE NATIONAL INVENTORS HALL OF FAME,$200,For his revolver with interchangeable parts,Colt
4993,2006-05-03,Double Jeopardy!,THE BRIT PIC,$1200,"Early 19th-century bestselling author depicted <a href=""http://www.j-archive.com/media/2006-05-03_DJ_13.jpg"" target=""_blank"">here</a>",Jane Austen
4898,2005-12-21,Double Jeopardy!,"THE ""BYRD""s & THE ""BEA""s",$800,"This admiral led a third Antarctic expedition, discovering Thurston island in 1939",Richard Byrd
6043,2010-12-15,Double Jeopardy!,AMERICAN POETRY,$1200,"In ""the courtship of Miles Standish"", Longfellow wrote, ""youngest of all was he of the men who came in"" this ship",the Mayflower
4869,2005-11-10,Final Jeopardy!,BILLBOARD MAGAZINE,None,"Launched in 2004, Billboard's first Top 20 chart for these included ""My Boo"", the ""Halloween"" theme & ""Ice Ice Baby""",ringtones
1230,1989-12-29,Double Jeopardy!,HISTORIC QUOTES,$1000,"In 1798 Robert Goodloe Harper said, ""Millions for defense, but not one cent for"" this",Tribute
4807,2005-06-28,Double Jeopardy!,WORLD WAR II,$800,Germany's ME-262 jet fighter was made by this manufacturer,Messerschmitt
5757,2009-09-29,Jeopardy!,HAUNTED AMERICA,$600,"Woodburn, the Dover home of this state's governor, is said to have several resident ghosts",Delaware
6123,2011-04-06,Jeopardy!,HORTON HEARS A HOOSIER,$200,"This aviator first flew into the world near Millville on April 16, 1867; Orville landed in Ohio in 1871",Wilbur Wright
3853,2001-05-09,Double Jeopardy!,WILLIAM PENNED,$600,"In ""Lord of the Flies"" he explored the dark side of human nature",William Golding
3732,2000-11-21,Double Jeopardy!,BONE UP ON YOUR BONAPARTE,$400,The admiral who defeated Napoleon's navy in 1798's Battle of the Nile,Lord Nelson
2623,1996-01-17,Jeopardy!,'50s SONG LYRICS,$300,"This Carl Perkins hit begins, ""Well, it's one for the money, two for the show....""","""Blue Suede Shoes"""
3756,2000-12-25,Double Jeopardy!,CLAWS,$1000,"An animal that retracts its claws pulls them back into this, which also means the holder for a sword",sheath
4631,2004-10-25,Double Jeopardy!,HURRY UP!!!,$800,"""I feel the need... the need for speed!"" is a line from this high-octane Tom Cruise movie",Top Gun
1246,1990-01-22,Jeopardy!,CAPITAL PUNISHMENT,$200,Mata Hari,Firing Squad
5325,2007-11-02,Double Jeopardy!,CONSTELLATIONS,$800,"Ptolemy listed a constellation named for this, Jason's ship; it's been replaced by Carina, Puppis, Pyxis & Vela",the Argo
3177,1998-05-26,Double Jeopardy!,DOCS,$1000,"Hans Selye pioneered the study of this & wrote a book about it ""without distress""",Stress
4325,2003-05-23,Jeopardy!,BREAKFAST CEREALS,$600,Disney Buzz Blasts was inspired by this movie,Toy Story
5514,2008-07-24,Double Jeopardy!,PAUL REVERE,$800,In 1801 Revere opened America's first copper-rolling mill; he later made copper sheeting for this ship's hull,the Constitution
6269,2011-12-15,Double Jeopardy!,"THE BIRDS & THE ""B""s",$400,"Take these broken wings & learn to fly, you Turdus merula, aka this colorful bird",blackbird
5038,2006-07-05,Jeopardy!,CARE TO SEE MY ETCHINGS?,$600,"One of his most famous etchings is ""Christ Healing the Sick"", aka ""The 100-Guilder Print"", completed in the 1640s",Rembrandt
3344,1999-03-04,Jeopardy!,TASMANIAN TIDBITS,$100,Tasmania is this country's smallest state,Australia
4516,2004-04-05,Jeopardy!,NATIVE AMERICANS,$600,"A member of the Kaw tribe of Kansas, Charles Curtis was vice president under this man from 1929 to 1933",(Herbert) Hoover
1272,1990-02-27,Double Jeopardy!,FRENCH AUTHORS,$800,"Born Amandine Aurore Lucile Dupin, she chose this pseudonym for her 1st novel, 1832's ""Indiana""",George Sand
3083,1998-01-14,Double Jeopardy!,HISTORIC AMERICANS,$1000,"As chief justice from 1864 to 1873, he presided at the impeachment trial of Andrew Johnson",Salmon P. Chase
5231,2007-05-14,Jeopardy!,LETTER PERFECT,$600,It's the Roman numeral for 500,D
3187,1998-06-09,Jeopardy!,10-LETTER WORDS,$400,It's the pigment that makes red blood cells red,Hemoglobin
6129,2011-04-14,Jeopardy!,FORMULA2,$800,"SnF<sub>2</sub>, found in toothpaste, is also called stannous this",fluoride
3686,2000-09-18,Double Jeopardy!,THE SMALLEST IN AREA,$200,"Andorra, Monaco, Vatican City",Vatican City
6140,2011-04-29,Double Jeopardy!,POTENT POTABLES,$2000,The desert plant used to make tequila is blue this,agave
5618,2009-01-28,Jeopardy!,AMERICAN SIGN LANGUAGE,$800,"<a href=""http://www.j-archive.com/media/2009-01-28_J_29.jpg"" target=""_blank"">This</a> area of land with a specific use is of grave importance",graveyard (cemetery)
4983,2006-04-19,Jeopardy!,"""XE""-LENT",$1000,An unreasonable fear or hatred of foreigners,xenophobia
5486,2008-06-16,Double Jeopardy!,"""G""-RATED COUNTRIES",$400,"Situated at the far south of the Balkan peninsula, its territory includes more than 1,400 islands",Greece
6243,2011-11-09,Jeopardy!,THE HILLS ARE ALIVE,$800,"Wold, a Middle English geographical word, gave us the name of these hills, home to Bath & Cheltenham",the Cotswolds
6052,2010-12-28,Double Jeopardy!,APOCRYPHA NOW,$800,"O! Don't you cry for this woman, whose Apocryphal history finds her falsely accused of adultery",Susanna
4302,2003-04-22,Jeopardy!,"CROSSWORD CLUES ""L""",$600,"Mario, of movie musicals (5)",Lanza
5129,2006-12-21,Jeopardy!,FIRE WHEN READY,$200,"The October 1871 fire in this U.S. city burned more than 17,000 buildings & claimed 250 lives",Chicago
1885,1992-11-13,Jeopardy!,FAMOUS NAMES,$200,Fred Noonan was navigator on the 1937 around-the-world flight on which she disappeared,Amelia Earhart
5627,2009-02-10,Jeopardy!,FROM A TO Y,$1000,"After that bitter divorce, you might have to pay this, spousal support",alimony
5666,2009-04-06,Double Jeopardy!,VWLLSS VGTBLS,$800,RTBG,rutabaga
1,1984-09-10,Double Jeopardy!,'50'S TV,$200,"Occupation of Richard Diamond, Peter Gunn & Mike Hammer",private eyes (or private detectives)
5773,2009-10-21,Double Jeopardy!,OSCAR YOUNGEST/OLDEST,"$8,800",Youngest Best Actor winner: This 29-year-old in 2003 for a WWII-set film,Adrien Brody
3652,2000-06-20,Jeopardy!,BODIES OF WATER,$100,The Foxe Channel connects the Arctic Ocean with this huge Canadian bay,Hudson Bay
1790,1992-05-15,Jeopardy!,DOGS,$300,"Of the Brussels Dragon, the Brussels Unicorn or the Brussels Griffon, the one that's a dog",a Brussels Griffon
5538,2008-10-08,Double Jeopardy!,BROADWAY SHOWS BY ROLES,$1200,"The French Taunter, Tim the Enchanter, Concorde",Spamalot
5925,2010-05-21,Double Jeopardy!,TREATIES,$400,The 1979 Israel-Egypt Peace Treaty allowed Israel access to this man-made waterway,the Suez Canal
6224,2011-10-13,Jeopardy!,"DESERVES AN ""ITHER""",$600,Ruth Welcome was a virtuoso on this musical instrument,the zither
2127,1993-11-30,Double Jeopardy!,SHAKESPEAREAN CHARACTERS,$400,"Of Elbow, Knee, or Blister, the one who's a simple constable in ""Measure For Measure""",Elbow
5749,2009-09-17,Double Jeopardy!,"""E"" TIMES 3",$800,"An accused person in court, along with his counsel",the defense
4313,2003-05-07,Jeopardy!,"""EAU"", YEAH!",$800,"From the Old French for ""flame"", it's a large ornamental candlestick",flambeau
5760,2009-10-02,Jeopardy!,PEZ,$200,"In 1927 an Austrian candy man created the name ""Pez"" by shortening the German word ""Pfefferminz"" (this flavor)",peppermint
1881,1992-11-09,Jeopardy!,FRENCH CUISINE,$100,"Popeye might like epinards au beurre, which is this vegetable with butter",spinach
5027,2006-06-20,Double Jeopardy!,BRANDS,$1600,This candy-coated gum brand is named for a substance used to make gum,Chiclets
3596,2000-04-03,Double Jeopardy!,SNL ALUMNI,$600,In 1999 he pumped up nightclubs with a musical tribute to his hero Frank Sinatra,Joe Piscopo
5251,2007-06-11,Jeopardy!,ANAGRAMMED SHAKESPEARE PLAYS,$400,"""Hell too""",Othello
4512,2004-03-30,Jeopardy!,"IT'S ALWAYS ABOUT ""U""",$1000,The language known as Hindi is very close to this official language of Pakistan,Urdu
